"id,""matchDate"",""Country"",""League"",""Season"",""homeTeam"",""awayTeam"",""FTHG"",""FTAG"",""FTR"",""1HHG"",""1HAG"",""1HR"",""2HHG"",""2HAG"",""2HR"""
"1646,""12-09-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Celta Vigo"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1645,""12-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Ath Bilbao"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1644,""12-09-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Osasuna"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1643,""13-09-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Betis"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1641,""13-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Huesca"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1639,""19-09-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Eibar"",""2"",""1"",""H"",""0"",""0"",""D"",""2"",""1"",""H"""
"1638,""19-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Osasuna"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1636,""20-09-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Cadiz CF"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1633,""20-09-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Real Sociedad"",""Real Madrid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1632,""26-09-20 13:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Getafe"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1630,""26-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Real Sociedad"",""0"",""3"",""A"",""0"",""0"",""D"",""0"",""3"",""A"""
"1627,""27-09-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Ath Bilbao"",""1"",""2"",""A"",""0"",""1"",""A"",""1"",""1"",""D"""
"1624,""27-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Sevilla"",""1"",""3"",""A"",""0"",""0"",""D"",""1"",""3"",""A"""
"1625,""27-09-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Celta Vigo"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1622,""29-09-20 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Real Sociedad"",""Valencia"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1619,""30-09-20 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Atl. Madrid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1617,""30-09-20 21:30"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Elche"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1618,""30-09-20 21:30"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Valladolid"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1615,""01-10-20 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Cadiz CF"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1616,""01-10-20 19:00"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Levante"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1614,""01-10-20 21:30"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Barcelona"",""0"",""3"",""A"",""0"",""1"",""A"",""0"",""2"",""A"""
"1612,""03-10-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Atl. Madrid"",""Villarreal"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1610,""03-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Huesca"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1609,""03-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Betis"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1607,""04-10-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Ath Bilbao"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1606,""04-10-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Real Madrid"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1605,""04-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Granada CF"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1603,""17-10-20 13:00"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Sevilla"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1602,""17-10-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Atl. Madrid"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1601,""17-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Cadiz CF"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1600,""17-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Barcelona"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1599,""18-10-20 12:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Osasuna"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1598,""18-10-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Levante"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
